,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
10,Alan Anderson,SF,34,LAC,30,0,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.46299999999999997,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9,SF,34,LAC,30,308,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,,0.0,0.1,0.1,0.02,,-2.6,-2.3,-4.9,-0.2
11,Justin Anderson,SF,23,TOT,75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.7909999999999999,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,SF,23,TOT,75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,,0.6,1.3,1.9,0.07400000000000001,,-1.2,-0.3,-1.6,0.1
12,Kyle Anderson,SF,23,SAS,72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.48100000000000004,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,SF,23,SAS,72,1020,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,,0.7,2.0,2.7,0.127,,-2.1,3.7,1.6,0.9
13,Ryan Anderson,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,PF,28,HOU,72,2116,13.5,0.583,0.655,0.19399999999999998,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,,4.0,1.1,5.2,0.11699999999999999,,1.8,-2.6,-0.8,0.6
14,Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,SF,22,MIL,80,2845,26.1,0.599,0.14300000000000002,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,,7.9,4.5,12.4,0.21,,4.1,3.5,7.6,6.9
15,Carmelo Anthony,SF,32,NYK,74,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,SF,32,NYK,74,2538,17.9,0.535,0.303,0.263,2.6,16.0,9.3,14.5,1.2,1.1,9.0,29.1,,3.2,1.5,4.7,0.08900000000000001,,1.5,-2.2,-0.7,0.8
16,Joel Anthony,C,34,SAS,19,0,6.4,0.5,0.8,0.625,0.0,0.0,0.0,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,C,34,SAS,19,122,11.6,0.64,0.0,0.5,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7,,0.1,0.2,0.4,0.141,,-3.1,2.5,-0.6,0.0
17,Trevor Ariza,SF,31,HOU,80,80,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,SF,31,HOU,80,2773,12.4,0.5479999999999999,0.695,0.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,,2.8,3.2,6.0,0.10400000000000001,,0.7,1.0,1.7,2.6
18,Darrell Arthur,PF,28,DEN,41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.45299999999999996,1.0,2.4,0.429,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,PF,28,DEN,41,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,,0.6,0.4,1.1,0.081,,0.3,-0.6,-0.3,0.3
19,Omer Asik,C,30,NOP,31,19,15.5,1.0,2.1,0.47700000000000004,0.0,0.0,0.0,1.0,2.1,0.47700000000000004,0.47700000000000004,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,C,30,NOP,31,482,9.8,0.517,0.0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,,0.4,0.6,1.0,0.1,,-4.3,1.2,-3.1,-0.1
20,D.J. Augustin,PG,29,ORL,78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.34700000000000003,1.3,3.1,0.41200000000000003,0.469,1.7,2.1,0.8140000000000001,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,PG,29,ORL,78,1538,11.0,0.524,0.53,0.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4,,0.7,0.5,1.2,0.038,,-0.9,-3.3,-4.2,-0.9
21,Luke Babbitt,SF,27,MIA,68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,SF,27,MIA,68,1065,8.3,0.563,0.747,0.053,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,,0.8,1.0,1.8,0.081,,-1.1,-0.9,-1.9,0.0
22,Ron Baker,SG,23,NYK,52,13,16.5,1.6,4.2,0.37799999999999995,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.6509999999999999,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,SG,23,NYK,52,857,7.5,0.456,0.396,0.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8,,-0.6,0.5,-0.1,-0.008,,-3.5,-0.9,-4.4,-0.5
23,Wade Baldwin,PG,20,MEM,33,1,12.3,1.1,3.5,0.313,0.1,0.7,0.136,1.0,2.8,0.355,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2,PG,20,MEM,33,405,6.5,0.40399999999999997,0.191,0.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,,-0.8,0.5,-0.3,-0.040999999999999995,,-6.2,0.5,-5.7,-0.4
24,Leandro Barbosa,SG,34,PHO,67,0,14.4,2.6,5.9,0.439,0.5,1.5,0.35700000000000004,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,SG,34,PHO,67,963,11.5,0.509,0.25,0.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0,,0.3,0.4,0.6,0.031,,-2.0,-2.1,-4.1,-0.5
25,J.J. Barea,PG,32,DAL,35,6,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,PG,32,DAL,35,771,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,,0.8,0.5,1.3,0.08,,2.0,-2.6,-0.5,0.3
26,Harrison Barnes,PF,24,DAL,79,79,35.5,7.6,16.2,0.46799999999999997,1.0,2.8,0.35100000000000003,6.6,13.4,0.49200000000000005,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,PF,24,DAL,79,2803,16.3,0.541,0.17300000000000001,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,,2.5,2.1,4.6,0.078,,-0.7,-1.2,-1.9,0.1
27,Matt Barnes,SF,36,TOT,74,18,24.0,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,SF,36,TOT,74,1777,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,,0.3,1.7,2.0,0.053,,-1.2,0.6,-0.6,0.6
28,Will Barton,SG,26,DEN,60,19,28.4,4.9,11.1,0.44299999999999995,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,SG,26,DEN,60,1705,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,,2.5,0.8,3.3,0.09300000000000001,,1.3,-1.0,0.3,1.0
29,Brandon Bass,PF,31,LAC,52,0,11.1,2.1,3.6,0.575,0.0,0.1,0.33299999999999996,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,PF,31,LAC,52,577,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,,1.6,0.6,2.2,0.18600000000000003,,0.1,-0.8,-0.7,0.2
30,Nicolas Batum,SG,28,CHO,77,77,34.0,5.1,12.7,0.40299999999999997,1.8,5.3,0.33299999999999996,3.4,7.4,0.45299999999999996,0.47200000000000003,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,SG,28,CHO,77,2617,15.8,0.529,0.415,0.29100000000000004,1.9,18.4,10.1,27.7,1.6,1.0,15.0,22.3,,1.7,2.8,4.6,0.084,,0.7,0.6,1.2,2.1
31,Jerryd Bayless,PG,28,PHI,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.33299999999999996,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,PG,28,PHI,3,71,8.7,0.45299999999999996,0.156,0.313,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.067,,-5.2,-2.9,-8.2,-0.1
32,Aron Baynes,C,30,DET,75,2,15.5,1.9,3.7,0.513,0.0,0.0,0.0,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9,C,30,DET,75,1163,13.1,0.57,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,,1.4,1.5,3.0,0.12300000000000001,,-2.9,1.1,-1.8,0.1
33,Kent Bazemore,SF,27,ATL,73,64,26.9,4.0,9.9,0.409,1.3,3.6,0.34600000000000003,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0,SF,27,ATL,73,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,,-0.6,2.8,2.1,0.052000000000000005,,-2.0,1.2,-0.8,0.6
34,Bradley Beal,SG,23,WAS,77,77,34.9,8.3,17.2,0.48200000000000004,2.9,7.2,0.40399999999999997,5.4,10.0,0.5379999999999999,0.5660000000000001,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,SG,23,WAS,77,2684,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,,6.9,1.6,8.5,0.152,,4.5,-2.3,2.2,2.8
35,Malik Beasley,SG,20,DEN,22,1,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2.0,0.5329999999999999,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0.0,0.4,0.5,3.8,SG,20,DEN,22,165,13.7,0.536,0.384,0.13699999999999998,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,,0.1,0.1,0.2,0.057,,-0.5,-3.5,-3.9,-0.1
36,Michael Beasley,PF,28,MIL,56,6,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.5539999999999999,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,PF,28,MIL,56,935,17.8,0.584,0.106,0.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,,0.8,1.0,1.8,0.092,,-1.7,-1.1,-2.9,-0.2
37,Marco Belinelli,SG,30,CHO,74,0,24.0,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2.0,2.3,0.893,0.2,2.2,2.4,2.0,0.6,0.1,0.9,1.2,10.5,SG,30,CHO,74,1778,13.3,0.5660000000000001,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,,2.0,1.2,3.2,0.087,,0.1,-2.0,-1.9,0.1
38,DeAndre' Bembry,SF,22,ATL,38,1,9.8,1.2,2.6,0.48,0.0,0.5,0.055999999999999994,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,SF,22,ATL,38,371,8.8,0.48100000000000004,0.184,0.163,4.2,13.1,8.7,11.5,1.1,1.2,13.2,14.2,,-0.1,0.4,0.3,0.038,,-4.4,0.1,-4.3,-0.2
39,Dragan Bender,PF,19,PHO,43,0,13.3,1.3,3.7,0.354,0.7,2.3,0.27699999999999997,0.7,1.4,0.483,0.441,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,PF,19,PHO,43,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,,-0.7,0.3,-0.3,-0.028999999999999998,,-4.0,-0.3,-4.3,-0.3
40,Anthony Bennett,PF,23,BRK,23,1,11.5,1.7,4.0,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0,PF,23,BRK,23,264,14.7,0.5329999999999999,0.522,0.391,10.2,21.0,15.6,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,0.09,,-0.8,-2.2,-3.0,-0.1
41,Ben Bentil,PF,21,DAL,3,0,3.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0,PF,21,DAL,3,10,-17.6,0.0,0.33299999999999996,0.0,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,,-0.1,0.0,-0.1,-0.473,,-22.4,-4.5,-26.9,-0.1
42,Davis Bertans,PF,24,SAS,67,6,12.1,1.5,3.5,0.44,1.0,2.6,0.39899999999999997,0.5,0.9,0.557,0.588,0.4,0.5,0.8240000000000001,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,PF,24,SAS,67,808,12.9,0.609,0.7390000000000001,0.145,3.2,10.4,6.9,8.3,1.3,2.8,11.4,15.7,,1.1,1.2,2.3,0.135,,1.2,0.6,1.8,0.8
43,Patrick Beverley,SG,28,HOU,67,67,30.7,3.4,8.1,0.42,1.6,4.3,0.382,1.8,3.8,0.46299999999999997,0.521,1.1,1.4,0.768,1.4,4.4,5.9,4.2,1.5,0.4,1.5,3.3,9.5,SG,28,HOU,67,2058,13.0,0.546,0.53,0.175,5.0,15.8,10.4,18.8,2.3,1.0,14.6,14.1,,2.9,2.4,5.3,0.12300000000000001,,0.8,1.5,2.3,2.3
44,Bismack Biyombo,C,24,ORL,81,27,22.1,2.2,4.2,0.528,0.0,0.0,0.0,2.2,4.2,0.528,0.528,1.5,2.9,0.534,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,C,24,ORL,81,1793,12.2,0.546,0.0,0.69,9.3,25.6,17.2,6.0,0.7,4.1,17.7,13.2,,0.8,2.1,2.9,0.077,,-4.2,2.0,-2.2,-0.1
45,Nemanja Bjelica,PF,28,MIN,65,1,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,PF,28,MIN,65,1190,11.0,0.526,0.49700000000000005,0.171,5.5,18.6,12.0,9.6,1.7,1.4,13.4,16.4,,0.6,0.9,1.5,0.059000000000000004,,-0.7,-0.4,-1.1,0.3
46,Tarik Black,C,25,LAL,67,16,16.3,2.2,4.4,0.51,0.0,0.0,0.5,2.2,4.4,0.51,0.512,1.2,1.6,0.752,2.1,3.0,5.1,0.6,0.4,0.7,0.9,2.6,5.7,C,25,LAL,67,1091,15.0,0.56,0.006999999999999999,0.371,13.9,20.7,17.2,5.3,1.3,3.3,14.5,15.7,,1.5,0.8,2.4,0.105,,-1.8,0.2,-1.6,0.1
47,Eric Bledsoe,PG,27,PHO,66,66,33.0,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11.0,0.47700000000000004,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,PG,27,PHO,66,2176,20.5,0.563,0.3,0.44299999999999995,2.5,13.8,8.0,31.1,2.0,1.2,15.3,28.1,,4.0,1.4,5.3,0.11800000000000001,,3.7,-0.4,3.3,2.9
48,Bojan Bogdanovic,SF,27,TOT,81,54,25.7,4.6,10.4,0.445,1.8,4.8,0.36700000000000005,2.9,5.6,0.512,0.53,2.7,3.0,0.893,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7,SF,27,TOT,81,2083,13.5,0.585,0.46399999999999997,0.28800000000000003,1.9,12.3,7.2,8.7,0.8,0.3,12.1,22.4,,2.0,0.9,2.9,0.067,,-0.1,-2.8,-2.9,-0.5
49,Andrew Bogut,C,32,TOT,27,21,21.6,1.4,3.0,0.469,0.0,0.0,0.0,1.4,3.0,0.475,0.469,0.1,0.4,0.273,2.1,6.0,8.1,1.8,0.5,0.9,1.6,3.2,2.9,C,32,TOT,27,583,9.3,0.46,0.012,0.136,10.6,33.9,21.7,12.3,1.2,3.9,33.4,10.4,,-0.3,1.0,0.7,0.055,,-5.6,5.3,-0.3,0.3
50,Joel Bolomboy,PF,23,UTA,12,0,4.4,0.8,1.3,0.563,0.1,0.3,0.25,0.7,1.0,0.667,0.594,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8,PF,23,UTA,12,53,19.7,0.59,0.25,0.375,9.0,27.6,18.5,6.3,1.0,3.1,9.7,18.2,,0.1,0.1,0.2,0.171,,-1.3,0.5,-0.8,0.0
51,Devin Booker,SG,20,PHO,78,78,35.0,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.8320000000000001,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,SG,20,PHO,78,2730,14.6,0.531,0.28300000000000003,0.308,1.8,8.3,5.0,16.3,1.3,0.6,12.9,28.6,,1.3,0.6,2.0,0.035,,0.4,-2.7,-2.3,-0.2
52,Trevor Booker,PF,29,BRK,71,43,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1.0,1.5,0.6729999999999999,2.0,6.0,8.0,1.9,1.1,0.4,1.8,2.1,10.0,PF,29,BRK,71,1754,15.7,0.5539999999999999,0.132,0.18600000000000003,8.7,25.5,17.2,12.9,2.0,1.2,16.6,18.7,,1.0,2.2,3.1,0.086,,-1.6,1.7,0.1,0.9
53,Avery Bradley,SG,26,BOS,55,55,33.4,6.5,14.1,0.46299999999999997,2.0,5.0,0.39,4.6,9.1,0.504,0.5329999999999999,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,SG,26,BOS,55,1835,14.4,0.5479999999999999,0.35700000000000004,0.12,4.0,16.2,10.1,11.0,1.8,0.5,9.7,21.9,,1.1,2.0,3.1,0.081,,-0.2,-0.4,-0.5,0.7
54,Corey Brewer,SF,30,TOT,82,11,15.6,1.8,4.2,0.42200000000000004,0.3,1.4,0.22899999999999998,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,SF,30,TOT,82,1281,9.1,0.491,0.33899999999999997,0.195,2.7,11.6,7.1,10.7,2.3,1.3,12.7,14.3,,0.0,1.2,1.2,0.045,,-2.9,0.2,-2.7,-0.2
55,Malcolm Brogdon,SG,24,MIL,75,28,26.4,3.9,8.5,0.457,1.0,2.6,0.40399999999999997,2.8,5.9,0.48,0.518,1.5,1.7,0.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2,SG,24,MIL,75,1982,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,,2.6,1.5,4.1,0.1,,0.6,-1.1,-0.5,0.8
56,Aaron Brooks,PG,32,IND,65,0,13.8,1.9,4.6,0.40299999999999997,0.7,2.0,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1.0,1.4,5.0,PG,32,IND,65,894,9.5,0.507,0.42700000000000005,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,,-0.2,0.5,0.3,0.016,,-2.1,-2.5,-4.6,-0.6
57,Anthony Brown,SF,24,TOT,11,0,14.5,1.6,4.5,0.36,0.6,2.5,0.259,1.0,2.1,0.478,0.43,0.0,0.0,0.0,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9,SF,24,TOT,11,159,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,,-0.2,0.2,0.0,0.001,,-3.8,-0.2,-4.0,-0.1
58,Bobby Brown,PG,32,HOU,25,0,4.9,0.9,2.4,0.38299999999999995,0.6,1.4,0.4,0.4,1.0,0.36,0.5,0.1,0.1,1.0,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,2.5,PG,32,HOU,25,123,10.8,0.509,0.583,0.033,0.0,5.3,2.7,17.6,0.4,0.0,7.6,22.7,,0.1,0.0,0.1,0.04,,-1.5,-6.1,-7.6,-0.2
59,Jaylen Brown,SF,20,BOS,78,20,17.2,2.5,5.4,0.45399999999999996,0.6,1.7,0.341,1.9,3.7,0.507,0.508,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,,0.2,1.3,1.5,0.053,,-3.1,-0.9,-4.0,-0.7
